LOCATION,FOREST TYPE,LATITUDE,LONGITUDE,REFERENCE,,,,
US - OR,EF,43.03 N,124.30 W,16,,,,
US - WA,EF,43.25 N,124.15 W,23,,,,
US - WY,EF,41 N,106 W,25,,,,
US - NH,EF,44.01 N,71.48 W,26,,,,
US - CA,EF,43.73 N,121.64 W,30,,,,
US - NM,DF,35.45 N,105.55 W,40,,,,
E,DF,56.16 N,9.57 E,43,,,,
AUS,DF,42.13 S,172.16 E,48,,,,
AS,EF,41 N,127 E,51,,,,
US - OR,EF,44 N,122 W,51,,,,
AS,EF,41.00 N,127.00 E,51,,,,
US - OR,EF,44.00 N,122.00 W,51,,,,
SA ,DF,55.00 S,70.00 W,52,,,,
E,EF,59 N,31.30 E,55,,,,
US - OR,EF,44.14 N,122.11 W,65,,,,
US - OR,EF,43.35 N,121.15 W,66,,,,
US - MI,EF,45.98 N,89.45 W,67,,,,
US - NH,EF,44 N,71 W,68,,,,
US - MN,EF,45.50 N,94.00 W,69,,,,
AUS,EF,32.00 S,117.00 E,71,,,,
US-TN,DF,36.01 N,84.27 W,74,,,,
US-IL,DF,40.00 N,88.23 W,75,,,,
AUS,EF,35.35 S,145.00 E,76,,,,
US - MN,DF,40.20 N,103 W,77,,,,
CN,EF,51.02 N,115.03 W,115,,,,
US - NC,DF,35.04 N,83.25 W,119,,,,
US - SC,EF,34.00 N,80.00 W,121,,,,
US - WA,EF,47.2 N,121.3 W,122,,,,
US - WA,EF,47.55 N,120.3 W,122,,,,
US - NH,DF,43.56 N,71.45 W,134,,,,
US - MN,DF,44.42 N,93.30 W,141,,,,
US - MN,DF,43.54 N,91.46 W,141,,,,
US - CO,EF,39.53 N,105.55 W,146,,,,
E,EF,59.52 N,9.56 E,163,,,,
E,DF,51.00 N,0.00 E,188,,,,
E,MF,53.00 N,5.00 E,190,,,,
US - WA,EF,47.12 N,122 W,191,,,,
US - WA,EF,47.12 N,122 W,191,,,,
AUS,EF,43.25 S,172.16 W,195,,,,
US - TN,DF,35.4 N,83.3 W,196,,,,
E,EF,59 N,31.30 E,197,,,,
CN,EF,50.00 N,118.00 W,198,,,,
E,EF,50.45 N,11.45 E,199,,,,
US - IN,DF,38.45 N,86.25 W,201,,,,
AUS,DF,25.00 S,117.00 E,202,,,,
US - LA,DF,31.00 N,92.00 W,203,,,,
CN,EF,56.31 N,109.72 W,204,,,,
E,DF,117.00 W ,52.00 N ,204,,,,
E,EF,35.00 E,57.00 N,206,,,,
E,DF,52.00 N,1.00 W,208,,,,
E,DF,52.00 N,1.00 W,208,,,,
E,EF,60.00 N,30.00 E,209,,,,
E,EF,60.00 N,30.00 E,209,,,,
E,EF,60.00 N,30.00 E,209,,,,
E,EF,60.00 N,30.00 E,209,,,,
AS,EF,60.00 N,89.42 E,210,,,,
US-OR-HJA,EF,44.14 N,122.11 W,212,,,,
US-OR-KRD,EF,42.34 N,122.1 W,212,,,,
US-CA-SNP,EF,36.50 N,118.56 W,212,,,,
US-OR-PFEF,EF,43.73 N,121.64 W,212,,,,
US-CO-FEF,EF,39.85 N,105.91 W,212,,,,
US-OR-KRD,EF,42.34 N,122.1 W,212,,,,
US-OR-FRISS,EF,44.14 N,122.11 W,212,,,,
US-OR-WSR,EF,45.00 N,121.50 W,212,,,,
US-OR-CHEF,EF,45.12 N,123.12 W,212,,,,
US-WA-WREF,EF,45.49 N,121.57 W,212,,,,
RUS- Khabarovsk,MF,49.00 N,140.00 E,213,,,,
 RUS-St.-Petersburg ,DF,59.00 N,31.5  E,213,,,,
RUS- Irkutsk,DF,52.00 N,104.00 E,213,,,,
RUS- Krasnoyarsk,DF,56.00 N,93.00 E,213,,,,
US-OR-SW,EF,42.29 N,123.9 W,214,,,,
US-SE,EF,34.50 N,81.7 W,215,,,,
CN-Quebec,MF,48.59 N,79.24 W,216,,,,
AUS-NZ,EF,38.13 S,176.00 E,218,,,,
AUS-NZ,EF,38.48 S,176.3 E,219,,,,
CN-Alberta,EF,52.00 N,120.00  W,220,,,,
E-Germany,DF,51.00 N,12.00 E,221,,,,
US-WA-WREF,EF,45.49 N,121.58 W,222,,,,
US-NH,DF,43.56 N,71.45 W,223,,,,
RUS,EF,60.00 N,30.00 E,224,,,,
AUS,EF,35.30 S,150.15 E,225,,,,
AUS,EF,37.33 S,145.27 E,225,,,,
AUS,EF,35.25 S,148.55 E,225,,,,
RUS,EF,63.94 N,57.89 E,225,,,,
AUS,EF,43.09 S,146.66 E,226,,,,
E-Germany,DF,51.72 N,9.62 E,227,,,,
US-IN,DF,38.45 N,86.25 W,228,,,,
US-MN,DF,48.60 N,93.40 W,229,,,,
US-AK,EF,60.54 N,150.76 W,230,,,,
US-NC,DF,35.91 N,79.05 W,231,,,,
US-MN-MEF,EF,47.32 N,93.28 W,231,,,,
US-CO-FEF,EF,39.85 N,105.91 W,231,,,,
US-PNW-OR,EF,44.30 N,122.30W,70,,,,
CA,TR,8.78 N,82.95 W,189,,,,
CA,T,9.16 N,79.85 W,61,,,,
A,TD,6.15 N,0.91 W,179,,,,
CA-MEX,TD,20 N,88 W,14,,,,
SA ,TR,2.30 S,60 W,62,,,,
AUS,TR,18.5 S,146.12 E,128,,,,
AS,TR,2.95 N,102.25 E,131,,,,
CA,TR,18.28 N,066.07 W,58,,,,
CA,TR,9.16 N,79.85 W,59,,,,
AS,ST,23.25 N,112.5 E,232,,,,
CA,TD,18.82 N,89.45 W,233,,,,
AUS,EF,35.3 S,149.3 E,234,,,,
E,EF,52.95 N,7.25 W,235,,,,
US-TN,DF,35.4 N,83.3 W,236,,,,
SA ,TR,12.58 S,69.18 W,237,,,,
A,TR,1.0 S,100.5 E,238,,,,
CA-MEX,TR,18.58 N,95.08 W,231,,,,
CA-MEX,TD,18.5 N,88.5 W,231, ,,, 
